rank,title,rating,rating_people,quote
109,7号房的礼物,8.9,626672,《我是山姆》的《美丽人生》。
110,第六感,8.9,644773,
111,爱在黎明破晓前,8.8,810532,
112,爱在日落黄昏时,8.9,661601,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
113,头脑特工队,8.9,815945,愿我们都不用长大，每一座城堡都能永远存在。
114,哈利·波特与火焰杯,8.8,810151,
115,被嫌弃的松子的一生,8.8,779882,以戏谑来戏谑戏谑。
116,未麻的部屋,9.1,430715,
117,重庆森林,8.8,930138,
118,借东西的小人阿莉埃蒂,8.9,633225,曾经的那段美好会沉淀为一辈子的记忆。
119,菊次郎的夏天,8.9,679191,
120,入殓师,8.9,747167,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
121,剪刀手爱德华,8.7,1126827,
122,断背山,8.8,789104,每个人心中都有一座断背山。
123,勇敢的心,8.9,609061,
124,时空恋旅人,8.8,801854,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
125,驯龙高手,8.8,873785,和谐的生活离不开摸头与被摸头。
126,傲慢与偏见,8.7,949237,爱是摈弃傲慢与偏见之后的曙光。
127,无人知晓,9.1,376478,我的平常生活就是他人的幸福。
128,消失的爱人,8.7,1081649,年度最佳date movie。
129,倩女幽魂,8.8,841942,
130,玩具总动员3,8.9,603161,跨度十五年的欢乐与泪水。
131,新世界,8.9,534337,要做就做得狠一点，这样才能活下去。
132,花样年华,8.8,814556,
133,一个叫欧维的男人决定去死,8.9,575712,惠及一生的美丽。
134,色，戒,8.7,972059,假戏真情，爱欲深海
135,完美的世界,9.1,363348,
136,怪兽电力公司,8.8,777443,
137,教父3,9.0,437229,
138,小森林 夏秋篇,9.0,477576,那些静得只能听见呼吸的日子里，你明白孤独即生活。
139,阳光灿烂的日子,8.8,701342,
140,天使爱美丽,8.7,1026069,
141,侧耳倾听,8.9,524926,
142,哪吒闹海,9.2,311559,
143,九品芝麻官,8.8,802706,
144,被解救的姜戈,8.8,699235,热血沸腾，那个低俗、性感的无耻混蛋又来了。
145,请以你的名字呼唤我,8.8,832523,沉醉在电影的情感和视听氛围中无法自拔。
146,幸福终点站,8.8,647833,有时候幸福需要等一等。 
147,釜山行,8.6,1361752,揭露人性的丧尸题材力作。
148,神偷奶爸,8.7,1054961,Mr. I Don't Care其实也有Care的时候。
149,小森林 冬春篇,9.0,424097,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
150,喜宴,9.0,437592,
151,萤火之森,8.8,617730,触不到的恋人。
152,告白,8.8,749885,没有一人完全善，也没有一人完全恶。
153,七武士,9.3,238844,
154,玛丽和麦克斯,9.0,474793,你是我最好的朋友，你是我唯一的朋友 。
155,头号玩家,8.6,1529096,写给影迷，动漫迷和游戏迷的一封情书。
156,机器人之梦,9.1,454128,
157,模仿游戏,8.8,725632,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
158,惊魂记,9.0,361175,
159,大鱼,8.8,631629,
160,心灵奇旅,8.7,1154746,
161,背靠背，脸对脸,9.5,183407,
162,你的名字。,8.5,1607158,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
163,血战钢锯岭,8.7,865743,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
164,射雕英雄传之东成西就,8.7,723672,
165,我是山姆,9.0,380243,
166,末路狂花,9.0,356842,
167,阳光姐妹淘,8.8,643215,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
168,恐怖直播,8.7,734311,恐怖分子的“秋菊打官司”。
169,黑客帝国3：矩阵革命,8.8,501759,
170,高山下的花环,9.5,164177,
171,小丑,8.7,1132513,
172,谍影重重3,8.9,475688,像吃了苏打饼一样干脆的电影。
173,三块广告牌,8.7,927597,怼天怼地，你走后，她与世界为敌。
174,无间道2,8.8,574684,
175,电锯惊魂,8.7,619742,真相就在眼前。
176,达拉斯买家俱乐部,8.8,510805,Jared Leto的腿比女人还美！
177,疯狂原始人,8.7,928392,老少皆宜，这就是好莱坞动画的魅力。
178,绿里奇迹,8.9,392726,
179,爱在午夜降临前,8.8,480826,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
180,疯狂的石头,8.6,934525,中国版《两杆大烟枪》。
181,雨中曲,9.1,272495,
182,2001太空漫游,8.9,402396,
183,海街日记,8.8,528180,是枝裕和的家庭习作。
184,上帝之城,9.0,336318,
185,风之谷,8.9,396726,
186,心迷宫,8.7,625145,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
187,英雄本色,8.6,611821,
188,记忆碎片,8.7,711221,
189,纵横四海,8.8,492932,
190,无敌破坏王,8.7,617626,迪士尼和皮克斯拿错剧本的产物。
191,恐怖游轮,8.5,1003090,不要企图在重复中寻找已经失去的爱。
192,卢旺达饭店,8.9,370494,当这个世界闭上双眼，他却敞开了怀抱。
193,芙蓉镇,9.3,194677,
194,东京教父,9.0,295670,
195,牯岭街少年杀人事件,8.9,375702,
196,小偷家族,8.7,902044,我们组成了家。
197,魔女宅急便,8.7,530289,
198,冰川时代,8.7,691401,
199,忠犬八公物语,9.2,220944,
200,岁月神偷,8.7,615934,岁月流逝，来日可追。
201,遗愿清单,8.7,546506,用剩余不多的时间，去燃烧整个生命。
202,大佛普拉斯,8.7,561507,人们可以登上月球，却永远无法探索人们内心的宇宙。
203,荒蛮故事,8.7,523602,始于荒诞，止于更荒诞。
204,白日梦想家,8.6,661333,
205,源代码,8.6,935137,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
206,花束般的恋爱,8.6,842887,
207,爱乐之城,8.4,1136165,
208,疯狂的麦克斯4：狂暴之路,8.7,624529,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
209,可可西里,8.9,350070,坚硬的信仰。
210,你看起来好像很好吃,8.9,379673,感情不分食草或者食肉。
211,贫民窟的百万富翁,8.6,811821,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
212,波西米亚狂想曲,8.6,697887,
213,城市之光,9.3,175339,
214,爆裂鼓手,8.6,699003,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
215,大红灯笼高高挂,8.8,380581,
216,哈利·波特与死亡圣器(上),8.6,704575,最忠于原著的一部。
217,无耻混蛋,8.7,570154,昆汀同学越来越变态了，比北野武还杜琪峰。
218,青蛇,8.6,606419,
219,终结者2：审判日,8.8,390728,
220,东邪西毒,8.6,640263,
221,黑天鹅,8.6,853161,黑暗之美。
222,新龙门客栈,8.7,515906,
223,初恋这件小事,8.5,1058324,黑小鸭速效美白记。
224,千钧一发,8.8,356505,
225,人工智能,8.7,509325,
226,崖上的波妞,8.6,581881,
227,虎口脱险,8.9,299725,
228,雨人,8.7,446538,
229,哈利·波特与凤凰社,8.6,704677,
230,彗星来的那一夜,8.6,695013,小成本大魅力。
231,罗生门,8.8,362373,
232,海边的曼彻斯特,8.6,662442,我们都有权利不与自己的过去和解。
233,火星救援,8.5,848159,
234,恋恋笔记本,8.5,756950,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
235,真爱至上,8.5,813374,
236,黑客帝国2：重装上阵,8.7,460497,
237,冰雪奇缘,8.5,843416,
238,步履不停,8.8,332760,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
239,千年女优,8.8,322073,
240,奇迹男孩,8.6,605057,世界不完美，爱会有奇迹。
241,谍影重重2,8.7,404483,谁说王家卫镜头很晃？
242,蜘蛛侠：平行宇宙,8.6,764714,
243,战争之王,8.7,419706,做一颗让别人需要你的棋子。
244,攻壳机动队,9.0,222417,
245,血钻,8.7,425550,每个美丽事物背后都是滴血的现实。
246,小姐,8.5,586729,
247,血观音,8.6,575472,
248,隐藏人物,8.9,277454,
249,魂断蓝桥,8.8,313613,
250,房间,8.7,402898,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
